EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 FG   : Wind speed in 0.1 m/s
30-34 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CORDOBA AEROPUERTO, SPAIN (STAID: 337)
Blended and updated with sources:20051 908410 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   FG, Q_FG
   337, 20051,19590401,   22,    0
   337, 20051,19590402,   33,    0
   337, 20051,19590403,   86,    0
   337, 20051,19590404,   28,    0
   337, 20051,19590405,    6,    0
   337, 20051,19590406,    0,    0
   337, 20051,19590407,    0,    0
   337, 20051,19590408,   19,    0
   337, 20051,19590409,   83,    0
   337, 20051,19590410,   44,    0
   337, 20051,19590411,   11,    0
   337, 20051,19590412,    0,    0
   337, 20051,19590413,   28,    0
   337, 20051,19590414,   53,    0
   337, 20051,19590415,   39,    0
   337, 20051,19590416,  139,    0
   337, 20051,19590417,   72,    0
   337, 20051,19590418,   14,    0
   337, 20051,19590419,   31,    0
   337, 20051,19590420,   50,    0
   337, 20051,19590421,   81,    0
   337, 20051,19590422,   28,    0
   337, 20051,19590423,   78,    0
   337, 20051,19590424,   67,    0
   337, 20051,19590425,   17,    0
   337, 20051,19590426,   36,    0
   337, 20051,19590427,   67,    0
   337, 20051,19590428,   36,    0
   337, 20051,19590429,   92,    0
   337, 20051,19590430,   53,    0
   337, 20051,19590501,   28,    0
   337, 20051,19590502,   11,    0
   337, 20051,19590503,    6,    0
   337, 20051,19590504,    8,    0
   337, 20051,19590505,   53,    0
   337, 20051,19590506,   33,    0
   337, 20051,19590507,   25,    0
   337, 20051,19590508,   61,    0
   337, 20051,19590509,   33,    0
   337, 20051,19590510,   39,    0
   337, 20051,19590511,    0,    0
   337, 20051,19590512,    0,    0
   337, 20051,19590513,   17,    0
   337, 20051,19590514,   11,    0
   337, 20051,19590515,    0,    0
   337, 20051,19590516,   44,    0
   337, 20051,19590517,   67,    0
   337, 20051,19590518,   36,    0
   337, 20051,19590519,   42,    0
   337, 20051,19590520,   53,    0
   337, 20051,19590521,   11,    0
   337, 20051,19590522,   39,    0
   337, 20051,19590523,   33,    0
   337, 20051,19590524,    6,    0
   337, 20051,19590525,    0,    0
   337, 20051,19590526,   17,    0
   337, 20051,19590527,   11,    0
   337, 20051,19590528,   25,    0
   337, 20051,19590529,   58,    0
   337, 20051,19590530,   44,    0
   337, 20051,19590531,   53,    0
   337, 20051,19590601,   39,    0
   337, 20051,19590602,   17,    0
   337, 20051,19590603,   31,    0
   337, 20051,19590604,   72,    0
   337, 20051,19590605,   58,    0
   337, 20051,19590606,   44,    0
   337, 20051,19590607,   36,    0
   337, 20051,19590608,   28,    0
   337, 20051,19590609,   11,    0
   337, 20051,19590610,   11,    0
   337, 20051,19590611,   19,    0
   337, 20051,19590612,   11,    0
   337, 20051,19590613,   33,    0
   337, 20051,19590614,   19,    0
   337, 20051,19590615,   11,    0
   337, 20051,19590616,   17,    0
   337, 20051,19590617,   39,    0
   337, 20051,19590618,   28,    0
   337, 20051,19590619,   33,    0
   337, 20051,19590620,   25,    0
   337, 20051,19590621,   19,    0
   337, 20051,19590622,   17,    0
   337, 20051,19590623,   39,    0
   337, 20051,19590624,   33,    0
   337, 20051,19590625,   56,    0
   337, 20051,19590626,   25,    0
   337, 20051,19590627,    6,    0
   337, 20051,19590628,   28,    0
   337, 20051,19590629,   33,    0
   337, 20051,19590630,   39,    0
   337, 20051,19590701,   19,    0
   337, 20051,19590702,   33,    0
   337, 20051,19590703,    8,    0
   337, 20051,19590704,    0,    0
   337, 20051,19590705,   22,    0
   337, 20051,19590706,    0,    0
   337, 20051,19590707,   11,    0
   337, 20051,19590708,   22,    0
   337, 20051,19590709,   25,    0
   337, 20051,19590710,   19,    0
   337, 20051,19590711,   14,    0
   337, 20051,19590712,   11,    0
   337, 20051,19590713,   61,    0
   337, 20051,19590714,   39,    0
   337, 20051,19590715,   17,    0
   337, 20051,19590716,   25,    0
   337, 20051,19590717,   17,    0
   337, 20051,19590718,   47,    0
   337, 20051,19590719,   11,    0
   337, 20051,19590720,   28,    0
   337, 20051,19590721,   58,    0
   337, 20051,19590722,   44,    0
   337, 20051,19590723,   39,    0
   337, 20051,19590724,   11,    0
   337, 20051,19590725,    8,    0
   337, 20051,19590726,    0,    0
   337, 20051,19590727,    8,    0
   337, 20051,19590728,   39,    0
   337, 20051,19590729,   14,    0
   337, 20051,19590730,   19,    0
   337, 20051,19590731,   11,    0
   337, 20051,19590801,   33,    0
   337, 20051,19590802,   11,    0
   337, 20051,19590803,   22,    0
   337, 20051,19590804,   44,    0
   337, 20051,19590805,   22,    0
   337, 20051,19590806,   42,    0
   337, 20051,19590807,   19,    0
   337, 20051,19590808,   17,    0
   337, 20051,19590809,   33,    0
   337, 20051,19590810,   17,    0
   337, 20051,19590811,   17,    0
   337, 20051,19590812,    8,    0
   337, 20051,19590813,   11,    0
   337, 20051,19590814,   28,    0
   337, 20051,19590815,   25,    0
   337, 20051,19590816,    0,    0
   337, 20051,19590817,   11,    0
   337, 20051,19590818,   19,    0
   337, 20051,19590819,   36,    0
   337, 20051,19590820,   28,    0
   337, 20051,19590821,   11,    0
   337, 20051,19590822,    6,    0
   337, 20051,19590823,   19,    0
   337, 20051,19590824,    6,    0
   337, 20051,19590825,   17,    0
   337, 20051,19590826,   39,    0
   337, 20051,19590827,   39,    0
   337, 20051,19590828,    8,    0
   337, 20051,19590829,   11,    0
   337, 20051,19590830,   11,    0
   337, 20051,19590831,   36,    0
   337, 20051,19590901,   44,    0
   337, 20051,19590902,   17,    0
   337, 20051,19590903,   11,    0
   337, 20051,19590904,    8,    0
   337, 20051,19590905,   22,    0
   337, 20051,19590906,   11,    0
   337, 20051,19590907,    6,    0
   337, 20051,19590908,   17,    0
   337, 20051,19590909,    8,    0
   337, 20051,19590910,    8,    0
   337, 20051,19590911,   33,    0
   337, 20051,19590912,   31,    0
   337, 20051,19590913,   17,    0
   337, 20051,19590914,   25,    0
   337, 20051,19590915,   28,    0
   337, 20051,19590916,   19,    0
   337, 20051,19590917,    8,    0
   337, 20051,19590918,   22,    0
   337, 20051,19590919,   17,    0
   337, 20051,19590920,   14,    0
   337, 20051,19590921,   36,    0
   337, 20051,19590922,   28,    0
   337, 20051,19590923,   11,    0
   337, 20051,19590924,   11,    0
   337, 20051,19590925,   22,    0
   337, 20051,19590926,   22,    0
   337, 20051,19590927,   97,    0
   337, 20051,19590928,    0,    0
   337, 20051,19590929,    0,    0
   337, 20051,19590930,    0,    0
   337, 20051,19591001,    0,    0
   337, 20051,19591002,   11,    0
   337, 20051,19591003,   11,    0
   337, 20051,19591004,   19,    0
   337, 20051,19591005,    6,    0
   337, 20051,19591006,    0,    0
   337, 20051,19591007,    6,    0
   337, 20051,19591008,   14,    0
   337, 20051,19591009,   19,    0
   337, 20051,19591010,   17,    0
   337, 20051,19591011,    8,    0
   337, 20051,19591012,    8,    0
   337, 20051,19591013,    0,    0
   337, 20051,19591014,   19,    0
   337, 20051,19591015,   19,    0
   337, 20051,19591016,   14,    0
   337, 20051,19591017,   28,    0
   337, 20051,19591018,    6,    0
   337, 20051,19591019,   33,    0
   337, 20051,19591020,   39,    0
   337, 20051,19591021,   11,    0
   337, 20051,19591022,   11,    0
   337, 20051,19591023,   22,    0
   337, 20051,19591024,    8,    0
   337, 20051,19591025,   19,    0
   337, 20051,19591026,    0,    0
   337, 20051,19591027,   33,    0
   337, 20051,19591028,   97,    0
   337, 20051,19591029,   25,    0
   337, 20051,19591030,    0,    0
   337, 20051,19591031,    0,    0
   337, 20051,19591101,   11,    0
   337, 20051,19591102,    0,    0
   337, 20051,19591103,   11,    0
   337, 20051,19591104,   19,    0
   337, 20051,19591105,   19,    0
   337, 20051,19591106,   11,    0
   337, 20051,19591107,    0,    0
   337, 20051,19591108,    0,    0
   337, 20051,19591109,    0,    0
   337, 20051,19591110,    6,    0
   337, 20051,19591111,   22,    0
   337, 20051,19591112,   61,    0
   337, 20051,19591113,    0,    0
   337, 20051,19591114,   11,    0
   337, 20051,19591115,   11,    0
   337, 20051,19591116,   33,    0
   337, 20051,19591117,   89,    0
   337, 20051,19591118,   11,    0
   337, 20051,19591119,    0,    0
   337, 20051,19591120,    8,    0
   337, 20051,19591121,   11,    0
   337, 20051,19591122,    0,    0
   337, 20051,19591123,    0,    0
   337, 20051,19591124,    0,    0
   337, 20051,19591125,    0,    0
   337, 20051,19591126,   14,    0
   337, 20051,19591127,    0,    0
   337, 20051,19591128,    0,    0
   337, 20051,19591129,   25,    0
   337, 20051,19591130,  111,    0
   337, 20051,19591201,  139,    0
   337, 20051,19591202,   17,    0
   337, 20051,19591203,   19,    0
   337, 20051,19591204,   31,    0
   337, 20051,19591205,    6,    0
   337, 20051,19591206,    6,    0
   337, 20051,19591207,   78,    0
   337, 20051,19591208,   17,    0
   337, 20051,19591209,   33,    0
   337, 20051,19591210,   22,    0
   337, 20051,19591211,   39,    0
   337, 20051,19591212,   25,    0
   337, 20051,19591213,    0,    0
   337, 20051,19591214,    0,    0
   337, 20051,19591215,   28,    0
   337, 20051,19591216,    8,    0
   337, 20051,19591217,    0,    0
   337, 20051,19591218,    0,    0
   337, 20051,19591219,    8,    0
   337, 20051,19591220,    0,    0
   337, 20051,19591221,    6,    0
   337, 20051,19591222,   44,    0
   337, 20051,19591223,  128,    0
   337, 20051,19591224,   61,    0
   337, 20051,19591225,    0,    0
   337, 20051,19591226,    0,    0
   337, 20051,19591227,   53,    0
   337, 20051,19591228,   19,    0
   337, 20051,19591229,   11,    0
   337, 20051,19591230,   28,    0
   337, 20051,19591231,    6,    0
   337, 20051,19600101,-9999,    9
   337, 20051,19600102,-9999,    9
   337, 20051,19600103,-9999,    9
   337, 20051,19600104,-9999,    9
   337, 20051,19600105,-9999,    9
   337, 20051,19600106,-9999,    9
   337, 20051,19600107,-9999,    9
   337, 20051,19600108,-9999,    9
   337, 20051,19600109,-9999,    9
   337, 20051,19600110,-9999,    9
   337, 20051,19600111,-9999,    9
   337, 20051,19600112,-9999,    9
   337, 20051,19600113,-9999,    9
   337, 20051,19600114,-9999,    9
   337, 20051,19600115,-9999,    9
   337, 20051,19600116,-9999,    9
   337, 20051,19600117,-9999,    9
   337, 20051,19600118,-9999,    9
   337, 20051,19600119,-9999,    9
   337, 20051,19600120,-9999,    9
   337, 20051,19600121,-9999,    9
   337, 20051,19600122,-9999,    9
   337, 20051,19600123,-9999,    9
   337, 20051,19600124,-9999,    9
   337, 20051,19600125,-9999,    9
   337, 20051,19600126,-9999,    9
   337, 20051,19600127,-9999,    9
   337, 20051,19600128,-9999,    9
   337, 20051,19600129,-9999,    9
   337, 20051,19600130,-9999,    9
   337, 20051,19600131,-9999,    9
   337, 20051,19600201,-9999,    9
   337, 20051,19600202,-9999,    9
   337, 20051,19600203,-9999,    9
   337, 20051,19600204,-9999,    9
   337, 20051,19600205,-9999,    9
   337, 20051,19600206,-9999,    9
   337, 20051,19600207,-9999,    9
   337, 20051,19600208,-9999,    9
   337, 20051,19600209,-9999,    9
   337, 20051,19600210,-9999,    9
