EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 START  : Begin date YYYYMMDD
 98-105 STOP   : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   START,    STOP,PARID,PARNAME

    5,158018,LINKOEPING-MALMSLAETT                   ,SE,+58:24:00,+015:31:59,  93, FG1,19620101,20190430,   56,Marcus Flarup                                     
    5,902562,LINKOPING/MALMSLATT                     ,SE,+58:24:00,+015:31:59,  93, FG5,19800101,20190430,    -,Synoptical message from GTS
    7,158028,KARLSTAD-AIRPORT                        ,SE,+59:26:40,+013:20:15, 107, FG1,19980102,20190430,   56,Marcus Flarup                                     
    7,902418,KARLSTAD FLYGPLATS                      ,SE,+59:27:00,+013:19:59, 100, FG5,19800113,20190430,    -,Synoptical message from GTS
   32,175625,BOURGES                                 ,FR,+47:03:33,+002:21:34, 161,FG12,19450307,20171231,   10,Jean-Michel Soubeyroux                            
   32,907255,BOURGES                                 ,FR,+47:04:00,+002:22:00, 166, FG5,19800101,20190430,    -,Synoptical message from GTS
   33,175645,TOULOUSE-BLAGNAC                        ,FR,+43:37:15,+001:22:44, 151,FG12,19470101,20171231,   10,Jean-Michel Soubeyroux                            
   33,907630,TOULOUSE BLAGNAC                        ,FR,+43:37:00,+001:22:59, 158, FG5,19800101,20190430,    -,Synoptical message from GTS
   34,175647,BORDEAUX-MERIGNAC                       ,FR,+44:49:50,-000:41:29,  47,FG12,19201109,20171231,   10,Jean-Michel Soubeyroux                            
   34,907510,BORDEAUX MERIGNAC                       ,FR,+44:49:59,-000:42:00,  54, FG5,19800101,20190430,    -,Synoptical message from GTS
   36,176123,PERPIGNAN                               ,FR,+42:44:13,+002:52:22,  42,FG12,19241201,20171231,   10,Jean-Michel Soubeyroux                            
   36,907747,PERPIGNAN                               ,FR,+42:43:59,+002:52:00,  47, FG5,19800101,20190430,    -,Synoptical message from GTS
