EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 DD   : Wind direction in degrees
30-34 Q_DD : quality code for DD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CORDOBA AEROPUERTO, SPAIN (STAID: 337)
Blended and updated with sources:20049 908410 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   DD, Q_DD
   337, 20049,19590401,-9999,    9
   337, 20049,19590402,-9999,    9
   337, 20049,19590403,-9999,    9
   337, 20049,19590404,-9999,    9
   337, 20049,19590405,-9999,    9
   337, 20049,19590406,-9999,    9
   337, 20049,19590407,-9999,    9
   337, 20049,19590408,-9999,    9
   337, 20049,19590409,-9999,    9
   337, 20049,19590410,-9999,    9
   337, 20049,19590411,-9999,    9
   337, 20049,19590412,-9999,    9
   337, 20049,19590413,-9999,    9
   337, 20049,19590414,-9999,    9
   337, 20049,19590415,-9999,    9
   337, 20049,19590416,-9999,    9
   337, 20049,19590417,-9999,    9
   337, 20049,19590418,-9999,    9
   337, 20049,19590419,-9999,    9
   337, 20049,19590420,-9999,    9
   337, 20049,19590421,-9999,    9
   337, 20049,19590422,-9999,    9
   337, 20049,19590423,-9999,    9
   337, 20049,19590424,-9999,    9
   337, 20049,19590425,-9999,    9
   337, 20049,19590426,-9999,    9
   337, 20049,19590427,-9999,    9
   337, 20049,19590428,-9999,    9
   337, 20049,19590429,-9999,    9
   337, 20049,19590430,-9999,    9
   337, 20049,19590501,   60,    0
   337, 20049,19590502,   50,    0
   337, 20049,19590503,  180,    0
   337, 20049,19590504,  270,    0
   337, 20049,19590505,  250,    0
   337, 20049,19590506,   50,    0
   337, 20049,19590507,  230,    0
   337, 20049,19590508,  230,    0
   337, 20049,19590509,  230,    0
   337, 20049,19590510,  240,    0
   337, 20049,19590511,    0,    0
   337, 20049,19590512,    0,    0
   337, 20049,19590513,  270,    0
   337, 20049,19590514,  140,    0
   337, 20049,19590515,    0,    0
   337, 20049,19590516,  240,    0
   337, 20049,19590517,  230,    0
   337, 20049,19590518,  260,    0
   337, 20049,19590519,  280,    0
   337, 20049,19590520,  220,    0
   337, 20049,19590521,  230,    0
   337, 20049,19590522,  230,    0
   337, 20049,19590523,  250,    0
   337, 20049,19590524,  360,    0
   337, 20049,19590525,    0,    0
   337, 20049,19590526,  180,    0
   337, 20049,19590527,   90,    0
   337, 20049,19590528,  270,    0
   337, 20049,19590529,  270,    0
   337, 20049,19590530,  260,    0
   337, 20049,19590531,  240,    0
   337, 20049,19590601,  100,    0
   337, 20049,19590602,   50,    0
   337, 20049,19590603,  230,    0
   337, 20049,19590604,  250,    0
   337, 20049,19590605,  230,    0
   337, 20049,19590606,  250,    0
   337, 20049,19590607,  350,    0
   337, 20049,19590608,   80,    0
   337, 20049,19590609,   90,    0
   337, 20049,19590610,   50,    0
   337, 20049,19590611,  210,    0
   337, 20049,19590612,  270,    0
   337, 20049,19590613,  230,    0
   337, 20049,19590614,  190,    0
   337, 20049,19590615,  230,    0
   337, 20049,19590616,  230,    0
   337, 20049,19590617,  240,    0
   337, 20049,19590618,  270,    0
   337, 20049,19590619,  240,    0
   337, 20049,19590620,  230,    0
   337, 20049,19590621,  280,    0
   337, 20049,19590622,  270,    0
   337, 20049,19590623,  260,    0
   337, 20049,19590624,  240,    0
   337, 20049,19590625,  220,    0
   337, 20049,19590626,  270,    0
   337, 20049,19590627,  230,    0
   337, 20049,19590628,  250,    0
   337, 20049,19590629,  290,    0
   337, 20049,19590630,  320,    0
   337, 20049,19590701,  120,    0
   337, 20049,19590702,  230,    0
   337, 20049,19590703,  180,    0
   337, 20049,19590704,    0,    0
   337, 20049,19590705,  360,    0
   337, 20049,19590706,    0,    0
   337, 20049,19590707,  230,    0
   337, 20049,19590708,  230,    0
   337, 20049,19590709,  240,    0
   337, 20049,19590710,  230,    0
   337, 20049,19590711,  260,    0
   337, 20049,19590712,   50,    0
   337, 20049,19590713,  250,    0
   337, 20049,19590714,  260,    0
   337, 20049,19590715,  260,    0
   337, 20049,19590716,  270,    0
   337, 20049,19590717,  270,    0
   337, 20049,19590718,  260,    0
   337, 20049,19590719,  230,    0
   337, 20049,19590720,  210,    0
   337, 20049,19590721,  260,    0
   337, 20049,19590722,  250,    0
   337, 20049,19590723,  250,    0
   337, 20049,19590724,  270,    0
   337, 20049,19590725,  230,    0
   337, 20049,19590726,    0,    0
   337, 20049,19590727,  230,    0
   337, 20049,19590728,  240,    0
   337, 20049,19590729,  240,    0
   337, 20049,19590730,  210,    0
   337, 20049,19590731,  270,    0
   337, 20049,19590801,  230,    0
   337, 20049,19590802,  270,    0
   337, 20049,19590803,  250,    0
   337, 20049,19590804,  260,    0
   337, 20049,19590805,  260,    0
   337, 20049,19590806,  260,    0
   337, 20049,19590807,  270,    0
   337, 20049,19590808,  270,    0
   337, 20049,19590809,  270,    0
   337, 20049,19590810,  230,    0
   337, 20049,19590811,  230,    0
   337, 20049,19590812,  270,    0
   337, 20049,19590813,  250,    0
   337, 20049,19590814,  260,    0
   337, 20049,19590815,  270,    0
   337, 20049,19590816,    0,    0
   337, 20049,19590817,  270,    0
   337, 20049,19590818,  270,    0
   337, 20049,19590819,  260,    0
   337, 20049,19590820,  260,    0
   337, 20049,19590821,  270,    0
   337, 20049,19590822,  270,    0
   337, 20049,19590823,  270,    0
   337, 20049,19590824,   50,    0
   337, 20049,19590825,  180,    0
   337, 20049,19590826,  100,    0
   337, 20049,19590827,  220,    0
   337, 20049,19590828,  270,    0
   337, 20049,19590829,  230,    0
   337, 20049,19590830,  270,    0
   337, 20049,19590831,  240,    0
   337, 20049,19590901,  230,    0
   337, 20049,19590902,  230,    0
   337, 20049,19590903,  270,    0
   337, 20049,19590904,  230,    0
