EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 START  : Begin date YYYYMMDD
 98-105 STOP   : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   START,    STOP,PARID,PARNAME

    1,158002,VAEXJOE                                 ,SE,+56:52:00,+014:48:00, 166, DD4,19470101,19951114,   56,Marcus Flarup                                     
    1,158842,VAXJO-KRONOBERG                         ,SE,+56:55:48,+014:43:48, 182, DD4,19850501,19950731,   56,Marcus Flarup                                     
    2,158006,FALUN                                   ,SE,+60:37:00,+015:37:00, 160, DD4,19480101,19971231,   56,Marcus Flarup                                     
    3,158010,STENSELE                                ,SE,+65:04:00,+017:09:59, 325, DD4,19470101,19830914,   56,Marcus Flarup                                     
    4,158015,LINKOEPING                              ,SE,+58:24:00,+015:31:59,  93, DD4,19610101,19770731,   56,Marcus Flarup                                     
    4,158019,LINKOEPING-MALMSLAETT                   ,SE,+58:24:00,+015:31:59,  93, DD4,19470101,20190430,   56,Marcus Flarup                                     
    4,902562,LINKOPING/MALMSLATT                     ,SE,+58:24:00,+015:31:59,  93, DD4,19800101,20190430,    -,Synoptical message from GTS
    5,158015,LINKOEPING                              ,SE,+58:24:00,+015:31:59,  93, DD4,19610101,19770731,   56,Marcus Flarup                                     
    5,158019,LINKOEPING-MALMSLAETT                   ,SE,+58:24:00,+015:31:59,  93, DD4,19470101,20190430,   56,Marcus Flarup                                     
    5,902562,LINKOPING/MALMSLATT                     ,SE,+58:24:00,+015:31:59,  93, DD4,19800101,20190430,    -,Synoptical message from GTS
    7,158029,KARLSTAD-AIRPORT                        ,SE,+59:26:40,+013:20:15, 107, DD4,19470101,20190430,   56,Marcus Flarup                                     
    7,902418,KARLSTAD FLYGPLATS                      ,SE,+59:27:00,+013:19:59, 100, DD4,19800113,20190430,    -,Synoptical message from GTS
    9,158044,OESTERSUND-FROESOEN                     ,SE,+63:10:59,+014:28:59, 376, DD4,19610101,19800630,   56,Marcus Flarup                                     
    9,158299,FROSON                                  ,SE,+63:11:51,+014:29:11, 376, DD4,19470101,20190430,   56,Marcus Flarup                                     
    9,902226,OSTERSUND FROSON                        ,SE,+63:12:00,+014:30:00, 359, DD4,19800101,20190430,    -,Synoptical message from GTS
   10,158048,STOCKHOLM                               ,SE,+59:21:00,+018:03:00,  44, DD4,19610101,20190430,   56,Marcus Flarup                                     
   10,902484,STOCKHOLM/OBSERVATORIET                 ,SE,+59:21:00,+018:04:00,  44, DD4,20121129,20130430,    -,Synoptical message from GTS
   10,902485,STOCKHOLM                               ,SE,+59:21:00,+018:04:00,  52, DD4,19880307,20190430,    -,Synoptical message from GTS
  120,116205,GURTEEN                                 ,IE,+53:01:48,-008:00:36,  76, DD4,20080209,20190421,   17,Conor Daly                                        
  120,116221,BIRR                                    ,IE,+53:05:25,-007:52:35,  70, DD4,19541001,20091101,   17,Conor Daly                                        
