EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 FX   : Wind gust in 0.1 m/s
30-34 Q_FX : quality code for FX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CORDOBA AEROPUERTO, SPAIN (STAID: 337)
Blended and updated with sources:20050 908410 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   FX, Q_FX
   337, 20050,19590401,-9999,    9
   337, 20050,19590402,-9999,    9
   337, 20050,19590403,-9999,    9
   337, 20050,19590404,-9999,    9
   337, 20050,19590405,-9999,    9
   337, 20050,19590406,-9999,    9
   337, 20050,19590407,-9999,    9
   337, 20050,19590408,-9999,    9
   337, 20050,19590409,-9999,    9
   337, 20050,19590410,-9999,    9
   337, 20050,19590411,-9999,    9
   337, 20050,19590412,-9999,    9
   337, 20050,19590413,-9999,    9
   337, 20050,19590414,-9999,    9
   337, 20050,19590415,-9999,    9
   337, 20050,19590416,-9999,    9
   337, 20050,19590417,-9999,    9
   337, 20050,19590418,-9999,    9
   337, 20050,19590419,-9999,    9
   337, 20050,19590420,-9999,    9
   337, 20050,19590421,-9999,    9
   337, 20050,19590422,-9999,    9
   337, 20050,19590423,-9999,    9
   337, 20050,19590424,-9999,    9
   337, 20050,19590425,-9999,    9
   337, 20050,19590426,-9999,    9
   337, 20050,19590427,-9999,    9
   337, 20050,19590428,-9999,    9
   337, 20050,19590429,-9999,    9
   337, 20050,19590430,-9999,    9
   337, 20050,19590501,   61,    0
   337, 20050,19590502,   39,    0
   337, 20050,19590503,   19,    0
   337, 20050,19590504,   39,    0
   337, 20050,19590505,   89,    0
   337, 20050,19590506,   69,    0
   337, 20050,19590507,   50,    0
   337, 20050,19590508,   89,    0
   337, 20050,19590509,   50,    0
   337, 20050,19590510,   50,    0
   337, 20050,19590511,    0,    0
   337, 20050,19590512,   50,    0
   337, 20050,19590513,   50,    0
   337, 20050,19590514,   39,    0
   337, 20050,19590515,   50,    0
   337, 20050,19590516,  100,    0
   337, 20050,19590517,  100,    0
   337, 20050,19590518,   69,    0
   337, 20050,19590519,   69,    0
   337, 20050,19590520,  100,    0
   337, 20050,19590521,   50,    0
   337, 20050,19590522,   81,    0
   337, 20050,19590523,   69,    0
   337, 20050,19590524,   19,    0
   337, 20050,19590525,   31,    0
   337, 20050,19590526,   39,    0
   337, 20050,19590527,   31,    0
   337, 20050,19590528,   81,    0
   337, 20050,19590529,   81,    0
   337, 20050,19590530,  100,    0
   337, 20050,19590531,  119,    0
   337, 20050,19590601,-9999,    9
   337, 20050,19590602,-9999,    9
   337, 20050,19590603,-9999,    9
   337, 20050,19590604,-9999,    9
   337, 20050,19590605,-9999,    9
   337, 20050,19590606,-9999,    9
   337, 20050,19590607,-9999,    9
   337, 20050,19590608,-9999,    9
   337, 20050,19590609,-9999,    9
   337, 20050,19590610,-9999,    9
   337, 20050,19590611,-9999,    9
   337, 20050,19590612,-9999,    9
   337, 20050,19590613,-9999,    9
   337, 20050,19590614,-9999,    9
   337, 20050,19590615,-9999,    9
   337, 20050,19590616,-9999,    9
   337, 20050,19590617,-9999,    9
   337, 20050,19590618,-9999,    9
   337, 20050,19590619,-9999,    9
   337, 20050,19590620,-9999,    9
   337, 20050,19590621,-9999,    9
   337, 20050,19590622,-9999,    9
   337, 20050,19590623,-9999,    9
   337, 20050,19590624,-9999,    9
   337, 20050,19590625,-9999,    9
   337, 20050,19590626,-9999,    9
   337, 20050,19590627,-9999,    9
   337, 20050,19590628,-9999,    9
   337, 20050,19590629,-9999,    9
   337, 20050,19590630,-9999,    9
   337, 20050,19590701,   50,    0
   337, 20050,19590702,   61,    0
   337, 20050,19590703,   31,    0
   337, 20050,19590704,    0,    0
   337, 20050,19590705,   39,    0
   337, 20050,19590706,    0,    0
   337, 20050,19590707,   39,    0
   337, 20050,19590708,   81,    0
   337, 20050,19590709,   61,    0
   337, 20050,19590710,  150,    0
   337, 20050,19590711,   39,    0
   337, 20050,19590712,   39,    0
   337, 20050,19590713,  100,    0
   337, 20050,19590714,   61,    0
   337, 20050,19590715,   31,    0
   337, 20050,19590716,   39,    0
   337, 20050,19590717,  150,    0
   337, 20050,19590718,   89,    0
   337, 20050,19590719,   89,    0
   337, 20050,19590720,   50,    0
   337, 20050,19590721,  100,    0
   337, 20050,19590722,   50,    0
   337, 20050,19590723,   69,    0
   337, 20050,19590724,   39,    0
   337, 20050,19590725,   39,    0
   337, 20050,19590726,   31,    0
   337, 20050,19590727,   31,    0
   337, 20050,19590728,  100,    0
   337, 20050,19590729,   61,    0
   337, 20050,19590730,   61,    0
   337, 20050,19590731,   39,    0
   337, 20050,19590801,-9999,    9
   337, 20050,19590802,-9999,    9
   337, 20050,19590803,-9999,    9
   337, 20050,19590804,-9999,    9
