EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 START  : Begin date YYYYMMDD
 98-105 STOP   : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   START,    STOP,PARID,PARNAME

   40,115700,BAMBERG                                 ,DE,+49:52:31,+010:55:18, 240, FX1,19710801,20190430,   11,National Climate Data Center (DWD)                
   40,910675,BAMBERG                                 ,DE,+49:52:59,+010:55:00, 243, FX4,20040101,20190430,    -,Synoptical message from GTS
   42,115658,BREMEN                                  ,DE,+53:02:47,+008:47:57,   4, FX1,19510101,20190430,   11,National Climate Data Center (DWD)                
   42,910224,BREMEN                                  ,DE,+53:03:00,+008:48:00,   5, FX4,20000229,20190430,    -,Synoptical message from GTS
   43,115682,DRESDEN-KLOTZSCHE                       ,DE,+51:07:45,+013:45:21, 227, FX1,19730101,20190430,   11,National Climate Data Center (DWD)                
   43,115740,DRESDEN WAHNSDORF                       ,DE,+51:07:00,+013:40:59, 246, FX1,19670101,19701228,   11,National Climate Data Center (DWD)                
   43,910488,DRESDEN-KLOTZSCHE                       ,DE,+51:07:59,+013:45:00, 232, FX4,20000228,20190430,    -,Synoptical message from GTS
   44,115734,FRANKFURT                               ,DE,+50:02:47,+008:35:54, 112, FX1,19670101,20190430,   11,National Climate Data Center (DWD)                
   44,122381,FRANKFURT/MAIN (FELDBERGSTR.)           ,DE,+50:07:21,+008:39:39, 109, FX1,19530101,19611130,   11,National Climate Data Center (DWD)                
   44,910637,FRANKFURT/M-FLUGHAFEN                   ,DE,+50:03:00,+008:36:00, 113, FX4,20000228,20190430,    -,Synoptical message from GTS
   45,115752,HALLE                                   ,DE,+51:30:52,+011:57:02,  93, FX1,19720101,20150322,   11,National Climate Data Center (DWD)                
   45,910466,HALLE-KROELLWITZ                        ,DE,+51:31:00,+011:57:00,  96, FX4,20040101,20150316,    -,Synoptical message from GTS
   47,115648,HAMBURG FUHLSBUETTEL                    ,DE,+53:38:06,+009:59:24,  11, FX1,19510101,20190430,   11,National Climate Data Center (DWD)                
   47,910147,HAMBURG-FUHLSBUETTEL                    ,DE,+53:37:59,+009:58:59,  15, FX4,20000228,20190430,    -,Synoptical message from GTS
   48,115726,HOHENPEISSENBERG                        ,DE,+47:48:06,+011:00:42, 977, FX1,19510101,20190430,   11,National Climate Data Center (DWD)                
   48,910962,HOHENPEISSENBERG                        ,DE,+47:48:00,+011:01:00, 986, FX4,20040101,20190430,    -,Synoptical message from GTS
   49,115758,JENA STERNWARTE                         ,DE,+50:55:36,+011:35:03, 155, FX1,19920202,19980331,   11,National Climate Data Center (DWD)                
   50,115764,KAISERSLAUTERN                          ,DE,+49:25:31,+007:44:12, 285, FX1,19770301,19940531,   11,National Climate Data Center (DWD)                
   51,115706,KARLSRUHE                               ,DE,+49:02:21,+008:21:54, 112, FX1,19510101,20081031,   11,National Climate Data Center (DWD)                
   51,115708,RHEINSTETTEN                            ,DE,+48:58:24,+008:19:51, 116, FX1,20081101,20190430,   11,National Climate Data Center (DWD)                
   52,115787,MUENCHEN                                ,DE,+48:09:51,+011:32:39, 515, FX1,19850101,20190430,   11,National Climate Data Center (DWD)                
   52,910865,MUENCHEN-STADT                          ,DE,+48:10:00,+011:33:00, 526, FX4,20040101,20190430,    -,Synoptical message from GTS
   53,126341,MUENSTER                                ,DE,+51:57:02,+007:35:29,  62, FX1,19650101,19911230,   11,National Climate Data Center (DWD)                
   54,115668,POTSDAM                                 ,DE,+52:23:00,+013:03:50,  81, FX1,19670101,20190430,   11,National Climate Data Center (DWD)                
   54,910379,POTSDAM                                 ,DE,+52:22:59,+013:04:00, 100, FX4,20040101,20190430,    -,Synoptical message from GTS
   58,115724,ZUGSPITZE                               ,DE,+47:25:19,+010:59:12,2964, FX1,19800101,20190430,   11,National Climate Data Center (DWD)                
   58,910961,ZUGSPITZE                               ,DE,+47:25:00,+010:58:59,2960, FX4,20040101,20190430,    -,Synoptical message from GTS
   65,175762,DALATANGI                               ,IS,+65:16:05,-013:34:32,   9, FX1,20111117,20161231,   14,Toranna Palsdottir                                
   65,904097,DALATANGI                               ,IS,+65:16:00,-013:34:59,  11, FX4,20000228,20130430,    -,Synoptical message from GTS
   65,904197,DALATANGI                               ,IS,+65:16:00,-013:34:59,  11, FX4,20060913,20130430,    -,Synoptical message from GTS
   66,175769,REYKJAVIK                               ,IS,+64:07:37,-021:54:09,  52, FX1,19810101,20161231,   14,Toranna Palsdottir                                
   67,175776,STYKKISHOLMUR                           ,IS,+65:04:26,-022:44:00,  13, FX1,20161201,20161231,   14,Toranna Palsdottir                                
   67,904013,STYKKISHOLMUR                           ,IS,+65:04:59,-022:43:59,   8, FX4,20000228,20130430,    -,Synoptical message from GTS
   68,175783,TEIGARHORN                              ,IS,+64:40:33,-014:20:38,  14, FX1,19500101,20090630,   14,Toranna Palsdottir                                
   68,175816,TEIGARHORN (AWS)                        ,IS,+64:40:32,-014:20:38,  21, FX1,20090701,20161231,   14,Toranna Palsdottir                                
  120,116268,GURTEEN                                 ,IE,+53:01:48,-008:00:36,  76, FX1,20080205,20190422,   17,Conor Daly                                        
  120,116287,BIRR                                    ,IE,+53:05:25,-007:52:35,  70, FX1,19541001,20091125,   17,Conor Daly                                        
  120,903965,BIRR                                    ,IE,+53:04:59,-007:52:59,  70, FX4,20000228,20091001,    -,Synoptical message from GTS
  120,903966,GURTEEN                                 ,IE,+53:01:00,-008:00:00,  76, FX4,20100419,20190427,    -,Synoptical message from GTS
  121,116278,DUBLIN PHOENIX PARK                     ,IE,+53:21:50,-006:19:09,  49, FX1,20070801,20171109,   17,Conor Daly                                        
  121,116288,DUBLIN AIRPORT                          ,IE,+53:25:41,-006:14:27,  71, FX1,19440204,20190421,   17,Conor Daly                                        
  122,116277,MALIN HEAD                              ,IE,+55:22:18,-007:20:24,  21, FX1,20090611,20190422,   17,Conor Daly                                        
  122,116289,MALIN HEAD                              ,IE,+55:22:18,-007:20:24,  21, FX1,19550502,20100531,   17,Conor Daly                                        
  122,903980,MALIN HEAD                              ,IE,+55:22:00,-007:19:59,  21, FX4,20000228,20190427,    -,Synoptical message from GTS
  123,116282,VALENTIA OBSERVATORY                    ,IE,+51:56:22,-010:13:19,   9, FX1,19391001,20100531,   17,Conor Daly                                        
  123,903953,VALENTIA OBSERVATORY                    ,IE,+51:55:59,-010:15:00,  30, FX4,20000228,20190427,    -,Synoptical message from GTS
  160,113463,TEXELHORS_MM                            ,NL,+52:59:42,+004:43:12,   1, FX1,19710101,20190430,   19,Ge Verver                                         
  160,113570,DE KOOY                                 ,NL,+52:55:36,+004:46:51,   1, FX1,19720801,20190430,   19,Ge Verver                                         
