EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 countrycodes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 76 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT

   40,BAMBERG                                 ,DE,+49:52:31,+010:55:18,  240
   42,BREMEN                                  ,DE,+53:02:47,+008:47:57,    4
   43,DRESDEN WAHNSDORF                       ,DE,+51:07:00,+013:40:59,  246
   44,FRANKFURT                               ,DE,+50:02:47,+008:35:54,  112
   45,HALLE                                   ,DE,+51:30:52,+011:57:02,   93
   47,HAMBURG FUHLSBUETTEL                    ,DE,+53:38:06,+009:59:24,   11
   48,HOHENPEISSENBERG                        ,DE,+47:48:06,+011:00:42,  977
   49,JENA STERNWARTE                         ,DE,+50:55:36,+011:35:03,  155
   50,KAISERSLAUTERN                          ,DE,+49:25:31,+007:44:12,  285
   51,KARLSRUHE                               ,DE,+49:02:21,+008:21:54,  112
   52,MUENCHEN                                ,DE,+48:09:51,+011:32:39,  515
   53,MUENSTER                                ,DE,+51:57:02,+007:35:29,   62
   54,POTSDAM                                 ,DE,+52:23:00,+013:03:50,   81
   58,ZUGSPITZE                               ,DE,+47:25:19,+010:59:12, 2964
   65,DALATANGI                               ,IS,+65:16:05,-013:34:32,    9
   66,REYKJAVIK                               ,IS,+64:07:37,-021:54:09,   52
   67,STYKKISHOLMUR                           ,IS,+65:04:26,-022:44:00,   13
   68,TEIGARHORN                              ,IS,+64:40:33,-014:20:38,   14
  120,BIRR                                    ,IE,+53:05:25,-007:52:35,   70
  121,DUBLIN PHOENIX PARK                     ,IE,+53:21:50,-006:19:09,   49
  122,MALIN HEAD                              ,IE,+55:22:18,-007:20:24,   21
  123,VALENTIA OBSERVATORY                    ,IE,+51:56:22,-010:13:19,    9
  160,DEN HELDER                              ,NL,+52:57:41,+004:44:49,    4
  161,DE KOOY                                 ,NL,+52:55:36,+004:46:51,    1
  162,DE BILT                                 ,NL,+52:05:56,+005:10:46,    1
  164,EELDE                                   ,NL,+53:07:24,+006:35:04,    5
  166,VLISSINGEN                              ,NL,+51:26:29,+003:35:44,    8
  168,MAASTRICHT                              ,NL,+50:54:19,+005:45:42,  114
  179,BJOERNOEYA                              ,NO,+74:31:00,+019:01:00,   16
  186,SVALBARD AIRPORT                        ,NO,+78:15:00,+015:28:00,   28
  187,HOPEN                                   ,NO,+76:30:00,+025:04:00,    6
  189,JAN MAYEN                               ,NO,+70:55:59,-008:40:00,   10
  190,KARASJOK                                ,NO,+69:28:00,+025:30:11,  129
  192,FAERDER FYR                             ,NO,+59:01:36,+010:31:48,    6
  193,OSLO BLINDERN                           ,NO,+59:56:34,+010:43:14,   94
  194,UTSIRA FYR                              ,NO,+59:18:28,+004:52:41,   55
  195,VARDOE                                  ,NO,+70:22:01,+031:05:04,   14
  203,LUXEMBOURG AIRPORT                      ,LU,+49:37:33,+006:12:12,  376
  229,BADAJOZ/TALAVERA LA REAL                ,ES,+38:52:59,-006:49:45,  185
  230,MADRID - RETIRO                         ,ES,+40:24:42,-003:40:41,  667
  231,MALAGA AEROPUERTO                       ,ES,+36:40:00,-004:29:17,    7
  232,NAVACERRADA                             ,ES,+40:46:50,-004:00:37, 1894
  233,SALAMANCA AEROPUERTO                    ,ES,+40:57:33,-005:29:53,  790
  234,SAN SEBASTIAN - IGUELDO                 ,ES,+43:18:27,-002:02:21,  251
  236,TORTOSA - OBSERVATORIO DEL EBRO         ,ES,+40:49:14,+000:29:29,   44
  237,VALENCIA                                ,ES,+39:28:50,-000:21:59,   11
